home_team_rank,away_team_rank,home_team_form,away_team_form,home_goal_diff,away_goal_diff,tournament_importance,is_neutral,h2h_points_diff,goal_diff,result
65.0,86.0,0,0,0.0,0.0,1,0,0,4,1
111.0,9.0,0,0,0.0,0.0,1,0,0,-7,2
4.0,3.0,0,0,0.0,0.0,1,0,0,-1,2
67.0,70.0,0,0,0.0,0.0,4,0,0,1,1
52.0,46.0,0,0,0.0,0.0,4,0,0,1,1
59.0,35.0,0,0,0.0,0.0,4,0,0,1,1
19.0,5.0,0,0,0.0,0.0,4,0,0,1,1
107.0,65.0,0,3,0.0,4.0,2,0,0,0,0
22.0,8.0,0,0,0.0,0.0,4,0,0,0,0
5.0,70.0,0,0,-1.0,-1.0,4,0,0,1,1
59.0,94.0,3,0,1.0,0.0,4,0,0,7,1
8.0,35.0,1,0,0.0,-1.0,4,0,0,2,1
67.0,19.0,3,3,1.0,1.0,4,0,0,0,0
4.0,12.0,0,0,-1.0,0.0,4,0,0,0,0
123.0,81.0,0,0,0.0,0.0,1,1,0,-1,2
38.0,47.0,0,0,0.0,0.0,4,0,0,3,1
10.0,84.0,0,0,0.0,0.0,4,0,0,4,1
152.0,81.0,0,3,0.0,1.0,1,0,0,-1,2
152.0,123.0,0,0,-1.0,-1.0,1,0,0,-4,2
5.0,67.0,3,4,0.0,0.5,4,0,0,0,0
8.0,59.0,4,6,1.0,4.0,4,0,0,6,1
19.0,70.0,4,0,0.5,-1.0,4,0,0,4,1
22.0,94.0,1,0,0.0,-7.0,4,0,0,4,1
5.0,19.0,4,7,0.0,1.6666666666666667,4,0,3,-5,2
8.0,94.0,7,0,2.6666666666666665,-5.5,4,0,0,4,1
35.0,22.0,0,4,-1.5,2.0,4,0,0,-1,2
118.0,23.0,0,0,0.0,0.0,4,0,0,-2,2
70.0,67.0,0,5,-2.0,0.3333333333333333,4,0,3,0,0
92.0,10.0,0,3,0.0,4.0,4,0,0,-1,2
37.0,4.0,0,1,0.0,-0.5,4,0,0,0,0
11.0,20.0,0,0,0.0,0.0,4,0,0,3,1
111.0,21.0,0,0,-7.0,0.0,4,0,0,-4,2
47.0,12.0,0,1,-3.0,0.0,4,0,0,-2,2
42.0,7.0,0,0,0.0,0.0,4,0,0,-2,2
53.0,110.0,0,0,0.0,0.0,4,0,0,1,1
6.0,84.0,0,0,0.0,-4.0,4,0,0,2,1
40.0,89.0,0,0,0.0,0.0,4,0,0,2,1
30.0,3.0,0,3,0.0,1.0,4,0,0,0,0
13.0,49.0,0,0,0.0,0.0,1,0,0,2,1
22.0,59.0,7,6,1.6666666666666667,0.6666666666666666,4,0,0,1,1
94.0,35.0,0,0,-5.0,-1.3333333333333333,4,0,0,1,1
33.0,74.0,0,0,0.0,0.0,1,0,0,3,1
44.0,66.0,0,0,0.0,0.0,1,0,0,4,1
8.0,22.0,10,10,3.0,1.5,4,0,-1,2,1
35.0,59.0,0,6,-1.25,0.25,4,0,3,0,0
50.0,58.0,0,0,0.0,0.0,1,0,0,2,1
44.0,66.0,3,0,4.0,-4.0,1,0,3,3,1
92.0,13.0,0,3,-1.0,2.0,4,0,0,-4,2
118.0,2.0,0,0,-2.0,0.0,4,0,0,-3,2
14.0,24.0,0,0,0.0,0.0,1,1,0,1,1
9.0,20.0,3,0,7.0,-3.0,4,0,0,1,1
21.0,69.0,3,0,4.0,0.0,1,0,0,1,1
119.0,16.0,0,0,0.0,0.0,4,1,0,-7,2
31.0,1.0,0,0,0.0,0.0,1,0,0,0,0
44.0,39.0,6,0,3.5,0.0,1,0,0,-1,2
27.0,57.0,0,0,0.0,-2.0,4,0,0,4,1
47.0,60.0,3,4,2.0,2.0,4,0,0,1,1
44.0,38.0,6,3,2.0,1.0,1,0,-3,1,1
16.0,22.0,3,0,1.0,-2.0,1,1,0,0,0
32.0,51.0,3,0,3.0,0.0,1,0,0,1,1
74.0,71.0,0,0,0.0,-1.0,1,0,0,0,0
24.0,51.0,0,0,0.0,-1.0,1,0,0,1,1
16.0,95.0,4,0,0.5,0.0,1,1,0,4,1
44.0,8.0,9,3,1.75,2.0,1,0,0,2,1
30.0,18.0,0,0,0.0,0.0,4,0,0,0,0
23.0,47.0,0,6,-1.0,1.5,4,0,0,2,1
32.0,27.0,6,3,2.0,4.0,4,0,0,1,1
110.0,35.0,0,0,-1.0,0.0,4,0,0,-2,2
37.0,33.0,1,3,0.0,3.0,4,0,0,3,1
4.0,40.0,6,3,2.5,2.0,4,0,0,1,1
7.0,71.0,4,1,1.0,-0.5,4,0,0,-1,2
5.0,15.0,1,10,0.0,0.8,1,0,0,5,1
9.0,14.0,3,6,2.0,3.0,4,0,0,-2,2
2.0,28.0,3,1,3.0,0.0,4,0,0,2,1
13.0,5.0,3,3,7.0,3.0,4,0,0,2,1
22.0,3.0,1,6,-1.3333333333333333,4.0,4,0,3,-3,2
21.0,10.0,3,4,2.0,0.5,4,0,0,1,1
20.0,24.0,6,3,2.5,1.0,4,0,0,1,1
11.0,50.0,2,0,-0.3333333333333333,-2.5,4,0,0,1,1
29.0,74.0,0,1,0.0,0.0,4,0,0,2,1
44.0,43.0,12,0,1.8,0.0,4,1,0,0,0
34.0,49.0,1,3,0.0,1.0,1,0,0,2,1
16.0,132.0,7,0,1.6666666666666667,0.0,1,1,0,1,1
98.0,63.0,0,4,0.0,1.0,2,1,0,0,0
64.0,46.0,0,10,0.0,1.0,4,1,0,0,0
157.0,119.0,0,0,0.0,-2.5,1,0,0,-2,2
55.0,89.0,0,0,0.0,0.0,1,0,0,1,1
49.0,106.0,0,0,-2.0,-1.5,4,0,0,1,1
66.0,34.0,4,3,0.0,0.0,4,0,0,0,0
67.0,23.0,0,1,0.0,-1.75,4,0,0,1,1
64.0,44.0,1,1,0.0,0.0,4,1,0,0,0
55.0,89.0,3,0,1.0,-1.0,1,0,3,-2,2
61.0,9.0,3,4,1.0,-1.25,4,0,0,0,0
18.0,48.0,10,0,1.5,0.0,1,1,0,3,1
27.0,84.0,0,0,0.0,0.0,1,1,0,3,1
35.0,54.0,4,0,1.0,-1.0,1,0,0,4,1
54.0,84.0,0,0,-2.0,-3.0,1,1,0,-1,2
35.0,27.0,7,3,2.0,3.0,1,0,0,1,1
34.0,8.0,4,5,0.0,0.0,4,0,0,0,0
66.0,45.0,5,0,0.0,-2.0,4,0,0,-2,2
20.0,119.0,6,3,1.5,-1.0,4,0,-3,3,1
67.0,2.0,3,9,1.0,3.6666666666666665,4,0,0,1,1
9.0,61.0,5,4,-1.0,0.5,4,0,-1,1,1
14.0,32.0,4,4,0.3333333333333333,1.5,4,0,0,-1,2
4.0,1.0,4,13,2.5,2.8,1,0,0,1,1
36.0,11.0,3,3,2.0,0.0,4,0,0,1,1
3.0,20.0,6,9,2.5,2.0,4,0,0,1,1
84.0,29.0,3,1,-1.0,-1.0,4,0,0,-2,2
42.0,11.0,3,3,0.5,0.0,4,0,0,0,0
23.0,6.0,1,6,-1.6,4.5,4,0,0,-2,2
122.0,10.0,0,3,-7.0,0.5,4,1,0,-6,2
7.0,5.0,9,9,2.6666666666666665,2.0,4,0,0,1,1
13.0,119.0,4,3,0.0,-1.5,4,0,0,4,1
28.0,15.0,3,9,2.0,2.0,4,0,0,-1,2
153.0,144.0,0,0,0.0,0.0,1,0,0,-2,2
153.0,41.0,0,0,-2.0,0.0,1,1,0,3,1
84.0,62.0,0,5,-4.0,0.75,1,0,3,0,0
132.0,144.0,0,3,0.0,2.0,1,1,0,1,1
63.0,75.0,0,0,-3.0,-3.0,1,1,0,-1,2
62.0,153.0,6,3,0.6,0.5,1,1,0,-1,2
84.0,41.0,1,0,-2.0,-3.0,1,0,0,-1,2
75.0,132.0,3,3,-1.0,1.0,1,1,0,3,1
63.0,144.0,0,3,-2.3333333333333335,0.5,1,1,0,4,1
41.0,62.0,3,3,-1.0,-0.4,1,1,0,1,1
84.0,153.0,1,6,-1.6666666666666667,0.6666666666666666,1,0,0,0,0
138.0,107.0,0,0,0.0,0.0,1,0,0,3,1
72.0,95.0,0,0,0.0,0.0,1,0,0,1,1
75.0,144.0,6,3,0.3333333333333333,-1.0,1,1,0,0,0
63.0,132.0,3,3,-0.75,-1.0,1,1,0,0,0
153.0,63.0,7,4,0.5,-0.6,1,1,0,-2,2
84.0,75.0,2,7,-1.25,0.25,1,0,0,2,1
